id,screenName,location,text,created
1.61e+18,TelvinGriffin,Texarkana___Hollywood,It__ @babylonmovie Day Y__ll!! I__ so excited for everyone to see this amazing film!! 5 @goldenglobes Nominations already and we__e just getting started!! See it today________! My momma said y__ll better get your butts in them seats_¤£_¤£ #BabylonMovie #GoldenGlobes #OscarsShortList https://t.co/lOhNodA6ON,2022/12/23 14:35
1.61e+18,goldenglobes,"Hollywood, California",Read our 2023 #GoldenGlobes nominee profile -- Triangle of Sadness: https://t.co/MlqTuulKqV https://t.co/8DMpczeQhu,2022/12/23 00:30
1.61e+18,babylonmovie,"Los Angeles, CA","#BabylonMovie is nominated for 5 #GoldenGlobes, including Best Motion Picture, Musical or Comedy. Experience BABYLON in theatres today. Get your tickets now.",2022/12/23 00:18
1.61e+18,SeuAcervo_Music,BRASIL,"#GoldenGlobes Weekend Gears Up With _#Elvis_ and Netflix Parties

 https://t.co/vsN0q4xyvY",2022/12/22 21:44
1.61e+18,LCWTAction,,"__BEST BETS__

Austin Butler is well positioned. Elvis has momentum. Globes voters will go for its bombastic style. Fraser's campaign is overrated by the market.

#GoldenGlobes best bets are here &gt; 

https://t.co/9w2SSFcjMj

#GamblingTwitter #SportsPicks #FreePicks

@AButlerNews https://t.co/3nE3Gi6u8O",2022/12/22 20:49
1.61e+18,dragonmovieguy,,"Which Movie Should Win Best Picture - Musical/Comedy at the 2023 Golden Globes??!!

#BestPictureComedy #BestPicture #GoldenGlobes #Babylon #TheBansheesOfInisherin #EverythingEverywhereAllAtOnce #GlassOnionAKnivesOutMystery #TriangleOfSadness https://t.co/TPIvFt0fUs",2022/12/21 21:00
1.61e+18,UCanBetThat_,,"Here We Go! #GoldenGlobes Odds

Best Motion Picture _ Drama
#TheFabelmans -175
#TopGunMaverick +250
#AvatarTheWayOfWater +450
#TAR +500
#Elvis +800

More #Globes Odds: https://t.co/DeZXtndzPw",2022/12/21 20:43
1.61e+18,dragonmovieguy,,"Which Movie Should Win Best Picture - Musical/Comedy at the 2023 Golden Globes??!!

#BestPictureComedy #BestPicture #GoldenGlobes #Babylon #TheBansheesOfInisherin #EverythingEverywhereAllAtOnce #GlassOnionAKnivesOutMystery #TriangleOfSadness",2022/12/20 23:20
1.61e+18,dragonmovieguy,,"Which movie should win Best Picture - Drama at the 2023 Golden Globes??!!

#GoldenGlobes #BestPictureDrama #Tar #AvatarTheWayOfWater #Elvis #TheFabelmans #TopGunMaverick",2022/12/20 22:58
1.61e+18,dragonmovieguy,,"Which movie should win Best Picture - Drama at the 2023 Golden Globes??!!

#GoldenGlobes #BestPictureDrama #Tar #AvatarTheWayOfWater #Elvis #TheFabelmans #TopGunMaverick https://t.co/4v9jrjy2Sa",2022/12/20 22:57
1.61e+18,TFerrandino,United States,"It's not fair that they're giving brad pitt a Golden Globe nomination, same for his stupid movie, and yet snubbed Tom Cruise for his performance in Maverick. I hope Top Gun: Maverick wins their awards! #GoldenGlobes #BradPittIsAnAbuser",2022/12/20 09:48
